  0.10002000D+01 -0.40674614D+01 -0.24183805D+02  0.21900338D+03
  0.10040000D+01 -0.48346488D+01 -0.25134763D+02  0.21720890D+03
  0.10062000D+01 -0.52832089D+01 -0.25781544D+02  0.21621997D+03
  0.10084000D+01 -0.57368420D+01 -0.26501316D+02  0.21527021D+03
  0.10106000D+01 -0.61970481D+01 -0.27296145D+02  0.21436206D+03
  0.10128000D+01 -0.66653405D+01 -0.28168187D+02  0.21349829D+03
  0.10152000D+01 -0.71872234D+01 -0.29210201D+02  0.21261035D+03
  0.10176000D+01 -0.77225547D+01 -0.30349783D+02  0.21178370D+03
  0.10200000D+01 -0.82733655D+01 -0.31590027D+02  0.21102364D+03
  0.10224000D+01 -0.88417127D+01 -0.32934076D+02  0.21033620D+03
  0.10228000D+01 -0.89382880D+01 -0.33168397D+02  0.21022915D+03
  0.10252000D+01 -0.95297283D+01 -0.34637529D+02  0.20963505D+03
  0.10276000D+01 -0.10143249D+02 -0.36217223D+02  0.20912929D+03
  0.10300000D+01 -0.10780983D+02 -0.37910433D+02  0.20872053D+03
  0.10324000D+01 -0.11445082D+02 -0.39719891D+02  0.20841843D+03
  0.10348000D+01 -0.12137705D+02 -0.41647996D+02  0.20823371D+03
  0.10372000D+01 -0.12861015D+02 -0.43696679D+02  0.20817826D+03
  0.10396000D+01 -0.13617161D+02 -0.45867244D+02  0.20826520D+03
  0.10442000D+01 -0.15165913D+02 -0.50369061D+02  0.20888363D+03
  0.10488000D+01 -0.16857320D+02 -0.55310922D+02  0.21019520D+03
  0.10534000D+01 -0.18704181D+02 -0.60662456D+02  0.21233518D+03
  0.10580000D+01 -0.20716701D+02 -0.66361947D+02  0.21545738D+03
  0.10626000D+01 -0.22900940D+02 -0.72304459D+02  0.21973049D+03
  0.10672000D+01 -0.25256756D+02 -0.78328031D+02  0.22532986D+03
  0.10718000D+01 -0.27775193D+02 -0.84199160D+02  0.23242270D+03
  0.10764000D+01 -0.30435368D+02 -0.89600091D+02  0.24114474D+03
  0.10810000D+01 -0.33201038D+02 -0.94122231D+02  0.25156664D+03
  0.10856000D+01 -0.36017271D+02 -0.97272039D+02  0.26365071D+03
  0.10902000D+01 -0.38807958D+02 -0.98497101D+02  0.27720206D+03
  0.10948000D+01 -0.41475185D+02 -0.97239466D+02  0.29182347D+03
  0.10994000D+01 -0.43901703D+02 -0.93018631D+02  0.30688990D+03
  0.11040000D+01 -0.45957555D+02 -0.85536765D+02  0.32156207D+03
  0.11086000D+01 -0.47511279D+02 -0.74784970D+02  0.33485527D+03
  0.11132000D+01 -0.48444799D+02 -0.61117202D+02  0.34576645D+03
  0.11178000D+01 -0.48669593D+02 -0.45256647D+02  0.35343916D+03
  0.11224000D+01 -0.48140512D+02 -0.28214971D+02  0.35732386D+03
  0.11270000D+01 -0.46863548D+02 -0.11135442D+02  0.35728220D+03
  0.11316000D+01 -0.44895256D+02  0.48974393D+01  0.35359950D+03
  0.11362000D+01 -0.42333938D+02  0.19025026D+02  0.34690308D+03
  0.11408000D+01 -0.39305109D+02  0.30713378D+02  0.33801881D+03
  0.11454000D+01 -0.35945021D+02  0.39768936D+02  0.32781466D+03
  0.11500000D+01 -0.32385827D+02  0.46286322D+02  0.31707389D+03
  0.11546000D+01 -0.28744690D+02  0.50559946D+02  0.30641948D+03
  0.11592000D+01 -0.25117567D+02  0.52990840D+02  0.29628967D+03
  0.11638000D+01 -0.21577161D+02  0.54009625D+02  0.28695104D+03
  0.11684000D+01 -0.18173893D+02  0.54023925D+02  0.27853183D+03
  0.11730000D+01 -0.14938665D+02  0.53389377D+02  0.27106126D+03
  0.11776000D+01 -0.11886374D+02  0.52398735D+02  0.26450574D+03
  0.11822000D+01 -0.90194700D+01  0.51282643D+02  0.25879782D+03
  0.11868000D+01 -0.63311763D+01  0.50216641D+02  0.25385721D+03
  0.11914000D+01 -0.38081741D+01  0.49330547D+02  0.24960475D+03
  0.11960000D+01 -0.14327426D+01  0.48717908D+02  0.24597083D+03
  0.12006000D+01  0.81560118D+00  0.48444300D+02  0.24290011D+03
  0.12052000D+01  0.29588740D+01  0.48553981D+02  0.24035370D+03
  0.12098000D+01  0.50197143D+01  0.49074801D+02  0.23830988D+03
  0.12144000D+01  0.70206935D+01  0.50021441D+02  0.23676395D+03
  0.12190000D+01  0.89837708D+01  0.51397138D+02  0.23572774D+03
  0.12236000D+01  0.10929818D+02  0.53194010D+02  0.23522884D+03
  0.12282000D+01  0.12878151D+02  0.55392101D+02  0.23530954D+03
  0.12328000D+01  0.14846015D+02  0.57957216D+02  0.23602551D+03
  0.12374000D+01  0.16847966D+02  0.60837640D+02  0.23744370D+03
  0.12420000D+01  0.18895115D+02  0.63959905D+02  0.23963921D+03
  0.12466000D+01  0.20994197D+02  0.67223869D+02  0.24269052D+03
  0.12512000D+01  0.23146452D+02  0.70497668D+02  0.24667248D+03
  0.12558000D+01  0.25346350D+02  0.73613391D+02  0.25164654D+03
  0.12604000D+01  0.27580210D+02  0.76364826D+02  0.25764774D+03
  0.12650000D+01  0.29824859D+02  0.78509079D+02  0.26466862D+03
  0.12696000D+01  0.32046557D+02  0.79774224D+02  0.27264104D+03
  0.12742000D+01  0.34200481D+02  0.79875112D+02  0.28141821D+03
  0.12788000D+01  0.36231151D+02  0.78538675D+02  0.29076050D+03
  0.12834000D+01  0.38074188D+02  0.75538248D+02  0.30033038D+03
  0.12880000D+01  0.39659674D+02  0.70733513D+02  0.30970169D+03
  0.12926000D+01  0.40917165D+02  0.64109212D+02  0.31838735D+03
  0.12972000D+01  0.41782019D+02  0.55803037D+02  0.32588576D+03
  0.13018000D+01  0.42202267D+02  0.46112751D+02  0.33174036D+03
  0.13064000D+01  0.42144901D+02  0.35475960D+02  0.33560132D+03
  0.13110000D+01  0.41600355D+02  0.24422877D+02  0.33727498D+03
  0.13156000D+01  0.40584203D+02  0.13510616D+02  0.33674835D+03
  0.13202000D+01  0.39135680D+02  0.32535889D+01  0.33418246D+03
  0.13248000D+01  0.37313345D+02 -0.59343671D+01  0.32987730D+03
  0.13294000D+01  0.35188809D+02 -0.13774938D+02  0.32421882D+03
  0.13340000D+01  0.32839778D+02 -0.20133756D+02  0.31762152D+03
  0.13386000D+01  0.30343542D+02 -0.25006077D+02  0.31047894D+03
  0.13432000D+01  0.27771769D+02 -0.28487976D+02  0.30312923D+03
  0.13478000D+01  0.25186975D+02 -0.30742214D+02  0.29583756D+03
  0.13524000D+01  0.22640667D+02 -0.31966089D+02  0.28879304D+03
  0.13570000D+01  0.20172887D+02 -0.32365568D+02  0.28211566D+03
  0.13616000D+01  0.17812763D+02 -0.32137208D+02  0.27586862D+03
  0.13662000D+01  0.15579697D+02 -0.31457380D+02  0.27007231D+03
  0.13708000D+01  0.13484827D+02 -0.30477327D+02  0.26471752D+03
  0.13754000D+01  0.11532568D+02 -0.29322311D+02  0.25977648D+03
  0.13800000D+01  0.97220526D+01 -0.28093282D+02  0.25521156D+03
  0.13846000D+01  0.80483936D+01 -0.26869870D+02  0.25098134D+03
  0.13892000D+01  0.65037525D+01 -0.25713862D+02  0.24704493D+03
