      0.0000000000E+00  1.2403680193E+00  1.2403680193E+00  4.0783200778E+00  4.0783200778E+00
      1.2412355801E-02  1.3198568477E+00  1.3198568477E+00  4.0594741698E+00  4.0594741698E+00
      2.4824711603E-02  1.3989739194E+00  1.3989739194E+00  4.0402808315E+00  4.0402808315E+00
      3.7237067404E-02  1.4777136344E+00  1.4777136344E+00  4.0208615884E+00  4.0208615884E+00
      4.9649423206E-02  1.5560727639E+00  1.5560727639E+00  4.0013376727E+00  4.0013376727E+00
      6.1782092165E-02  1.6322975681E+00  1.6322975681E+00  3.9822678366E+00  3.9822678366E+00
      7.3914761124E-02  1.7081592516E+00  1.7081592516E+00  3.9633234056E+00  3.9633234056E+00
      8.6047430084E-02  1.7836612451E+00  1.7836612451E+00  3.9446126088E+00  3.9446126088E+00
      9.8180099043E-02  1.8588090185E+00  1.8588090185E+00  3.9262408124E+00  3.9262408124E+00
      1.1069257885E-01  1.9359461575E+00  1.9359461575E+00  3.9077569252E+00  3.9077569252E+00
      1.2320505866E-01  2.0127247996E+00  2.0127247996E+00  3.8898496855E+00  3.8898496855E+00
      1.3571753847E-01  2.0891573171E+00  2.0891573171E+00  3.8726218201E+00  3.8726218201E+00
      1.4823001828E-01  2.1652580537E+00  2.1652580537E+00  3.8561707779E+00  3.8561707779E+00
      1.6159008277E-01  2.2461658726E+00  2.2461658726E+00  3.8395664333E+00  3.8395664333E+00
      1.7495014727E-01  2.3267358870E+00  2.3267358870E+00  3.8240565489E+00  3.8240565489E+00
      1.8831021177E-01  2.4069921286E+00  2.4069921286E+00  3.8097371716E+00  3.8097371716E+00
      2.0167027626E-01  2.4869605594E+00  2.4869605594E+00  3.7966958685E+00  3.7966958685E+00
      2.1655359577E-01  2.5757416715E+00  2.5757416715E+00  3.7837686750E+00  3.7837686750E+00
      2.3143691527E-01  2.6642406519E+00  2.6642406519E+00  3.7726211247E+00  3.7726211247E+00
      2.4632023478E-01  2.7525001618E+00  2.7525001618E+00  3.7633350127E+00  3.7633350127E+00
      2.6120355428E-01  2.8405646111E+00  2.8405646111E+00  3.7559778329E+00  3.7559778329E+00
      2.7728936315E-01  2.9355778046E+00  2.9355778046E+00  3.7502561518E+00  3.7502561518E+00
      2.9337517202E-01  3.0304759890E+00  3.0304759890E+00  3.7468972374E+00  3.7468972374E+00
      3.0946098089E-01  3.1253193594E+00  3.1253193594E+00  3.7459289259E+00  3.7459289259E+00
